typeName,resortName,peakBeginDate1,peakEndDate1,peakPrice1,peakBeginDate2,peakEndDate2,peakPrice2,highBeginDate,highEndDate,highPrice,lowBeginDate,lowEndDate,lowPrice,promoBeginDate,promoEndDate,promoPrice,promoBeginDate2,promoEndDate2,promoPrice2
plp-1,plp,,,,2016-10-01,2017-04-10,120,,,,,,71,,,,,,
plp-2,plp,,,,2016-10-01,2017-04-10,155,,,,,,97,,,,,,
vbay-1,vbay,2017-11-20,2017-11-26,265.5,2017-12-20,2018-01-02,265.5,,,,,,225,,,,,,
vbay-2,vbay,2017-11-20,2017-11-26,218.3,2017-12-20,2018-01-02,218.3,,,,,,185,,,,,,
vbay-3,vbay,2017-11-20,2017-11-26,188.8,2017-12-20,2018-01-02,188.8,,,,,,160,,,,,,
vbay-4,vbay,2017-11-20,2017-11-26,188.8,2017-12-20,2018-01-02,188.8,,,,,,160,,,,,,
vbay-5,vbay,2017-11-20,2017-11-26,177,2017-12-20,2018-01-02,177,,,,,,150,,,,,,
vbay-6,vbay,2017-11-20,2017-11-26,153.4,2017-12-20,2018-01-02,153.4,,,,,,130,,,,,,
vbay-7,vbay,2017-11-20,2017-11-26,153.4,2017-12-20,2018-01-02,153.4,,,,,,130,,,,,,
vbay-8,vbay,2017-11-20,2017-11-26,182.9,2017-12-20,2018-01-02,182.9,,,,,,155,,,,,,
pelican-villa,pelican,,,,2017-12-18,2018-01-01,950,,,,,,750,,,,,,
kirk-casita,kirk,2017-11-18,2017-11-26,160,2017-12-23,2018-01-01,160,2016-11-01,2017-04-14,125,,,80,2017-03-01,2017-05-15,93.75,2017-11-01,2018-04-14,125
kirk-cardon,kirk,2017-11-18,2017-11-26,170,2017-12-23,2018-01-01,170,2016-11-01,2017-04-14,145,,,110,2017-03-01,2017-05-15,108.75,2017-11-01,2018-04-14,145
kirk-1bd-1,kirk,2017-11-18,2017-11-26,200,2017-12-23,2018-01-01,200,2016-11-01,2017-04-14,170,,,120,2017-03-01,2017-05-15,127.5,2017-11-01,2018-04-14,170
kirk-1bd-2,kirk,2017-11-18,2017-11-26,120,2017-12-23,2018-01-01,120,2016-11-01,2017-04-14,110,,,70,2017-03-01,2017-05-15,82.5,2017-11-01,2018-04-14,110
kirk-2bd,kirk,2017-11-18,2017-11-26,315,2017-12-23,2018-01-01,315,2016-11-01,2017-04-14,250,,,180,2017-03-01,2017-05-15,187.5,2017-11-01,2018-04-14,250
kirk-4bd,kirk,2017-11-18,2017-11-26,510,2017-12-23,2018-01-01,510,2016-11-01,2017-04-14,360,,,240,2017-03-01,2017-05-15,270,2017-11-01,2018-04-14,360
bj-1,bj,2017-12-14,2018-01-15,125,,,,2016-10-15,2017-04-30,115,,,90,2017-10-15,2018-04-30,115,,,
bj-2,bj,2017-12-14,2018-01-15,115,,,,2016-10-15,2017-04-30,105,,,80,2017-10-15,2018-04-30,105,,,
bj-3,bj,2017-12-14,2018-01-15,95,,,,2016-10-15,2017-04-30,85,,,70,2017-10-15,2018-04-30,85,,,
bj-4,bj,2017-12-14,2018-01-15,60,,,,2016-10-15,2017-04-30,50,,,50,2017-10-15,2018-04-30,50,,,
dw-1,dw,2017-11-15,2017-12-15,42,,,,,,,,,52,2016-02-15,2016-03-15,42,,,
kurt-1,kurt,,,,,,,,,,,,75,,,,,,
kurt-2,kurt,,,,,,,,,,,,90,,,,,,
vwind-1,vwind,,,,,,,,,,,,,,,,,,
vwind-2,vwind,,,,,,,,,,,,,,,,,,
vwind-3,vwind,,,,,,,,,,,,,,,,,,
vwind-4,vwind,,,,,,,,,,,,,,,,,,
vp-1,vp,,,,,,,,,,,,100,,,,,,
vp-2,vp,,,,,,,,,,,,150,,,,,,
vp-3,vp,,,,,,,,,,,,70,,,,,,
vp-4,vp,,,,,,,,,,,,160,,,,,,
vp-5,vp,,,,,,,,,,,,450,,,,,,
