name,displayName,groupName,gcalId
plp-1,Bungalow,plp-1,
plp-2,Bungalow Superior,plp-2,
vbay-classic,Classic,vbay-1,
vbay-beachfront,Beachfront,vbay-2,
vbay-bunglaow,Bungalow,vbay-3,
vbay-villa,Ocean Villa,vbay-4,
vp-1,Room 1,vp-1,
vp-2,Room 2,vp-2,
vp-3,Room 3,vp-3,
vp-4,Room 4,vp-4,
pelican-villa,Pelican Villa,pelican-villa,
kirk-casita-1,Casita A,kirk-casita,
kirk-casita-2,Casita A,kirk-casita,
kirk-casita-3,Casita A,kirk-casita,
kirk-casita-4,Casita A,kirk-casita,
kirk-cardon,Casita Cardon,kirk-cardon,
kirk-1bd-1,Casa Buena Vista,kirk-1bd-1,
kirk-1bd-2,Casa 1 bedroom,kirk-1bd-2,
kirk-2bd,Casa 2 bedroom,kirk-2bd,
kirk-4bd,Casa 4 bedroom,kirk-4bd,
bj-rm-1,Room 1,bj-1,
bj-rm-7,Room 7,bj-1,
bj-rm-2,Room 2,bj-2,
bj-rm-3,Room 3,bj-2,
bj-rm-4,Room 4,bj-2,
bj-rm-5,Room 5,bj-2,
bj-rm-6,Room 6,bj-2,
bj-standard,Standard Room,bj-3,
bj-bunk-1,Bunk 1,bj-4,
bj-bunk-2,Bunk 2,bj-4,
dw-rm-1,Room 1,dw-1,
dw-rm-2,Room 2,dw-1,
dw-rm-3,Room 3,dw-1,
kirt-rm-1,Room 1,kirt-1,
kirt-rm-2,Room 2,kirt-1,
kirt-rm-3,Room 3,kirt-2,
kirt-rm-4,Room 4,kirt-2,
