typeName,resortName,displayName,type,maxCapacity,bedSetup,numBedroom,numBathroom,kitchen,kitchenette,privateBath,ac,patio,seaview,notes
plp-1,plp,Bungalow,BUNGALOW,2,1 Queen,0,1,,,Y,Y,Y,Y,
plp-2,plp,Superior Bungalow,BUNGALOW,3,"1 King and 1 Twin, or 3 Twins",0,1,,,Y,Y,Y,Y,
vbay-8,vbay,Garden View room,ROOM,3,1 Queen and 2 Singles,0,1,,,,,,,
vbay-7,vbay,Ocean View room,ROOM,2,1 King or 2 Singles,0,1,,,,,,,
vbay-6,vbay,Classic Beachfront room,ROOM,3,1 King and 1 Single,0,1,,,Y,Y,Y,Y,
vbay-5,vbay,Superior Beachfront room,ROOM,2,1 King,0,1,,,Y,Y,Y,Y,
vbay-4,vbay,Beachfront Suite,ROOM,2,1 King,0,1,,,,,,,
vbay-3,vbay,Ocean View Bungalow,BUNGALOW,2,1 King or 1 Queen,0,1,,,Y,Y,Y,Y,
vbay-2,vbay,Superior Ocean View Bungalows,BUNGALOW,2,1 King,0,1,,,,,,,
vbay-1,vbay,Ocean View Villa,HOUSE,2,1 King,1,2,Y,,Y,Y,Y,Y,There are 3 Ocean View Villas next to each other and can be booked together.  Perfect for big group!
vp-1,vp,RoomType 1,ROOM,2,1 Queen,0,1,,,Y,Y,,Y,
vp-2,vp,RoomType 2,ROOM,2,1 Queen,0,1,Y,,Y,Y,,Y,
vp-3,vp,RoomType 3,ROOM,2,1 Queen,1,1,,Y,Y,Y,,Y,
vp-4,vp,RoomType 4,ROOM,6,3 Queen,2,1,Y,,Y,Y,,Y,
pelican-villa,pelican,Pelican Reef Villa,CASA,8,"1 King, 1 Queen, 1 King/2 Twins, 2 Twins",4,2,Y,,Y,Y,Y,Y,
kirk-casita,kirk,Casita (Stand-Alone Studio),CASITA,2,1 King/Queen or 2 Twins,0,1,,Y,Y,Y,Y,Y,
kirk-cardon,kirk,Casa Cardon (Stand-Alone Studio),CASA,2,1 King/Queen or 2 Twins,0,1,Y,,Y,Y,Y,Y,
kirk-1bd-1,kirk,1 Bedroom Casa Buena Vista,CASA,2,1 King or 2 Twins,1,1,Y,,Y,Y,Y,Y,
kirk-1bd-2,kirk,1 Bedroom Casa de las Palmas,CASA,2,1 King or 2 Twins,1,1,Y,,Y,Y,Y,Y,
kirk-2bd,kirk,2 Bedroom Casa,CASA,4,2 King or 1 King / 2 Twins or 4 Twins,2,1,Y,,Y,Y,Y,Y,
kirk-4bd,kirk,4 Bedroom Casa Alta Mar,CASA,8,"1 King, 1 Queen, 1 Full Bed and Full Futon, King or 2 Twin",4,2,Y,,Y,Y,Y,Y,
bj-1,bj,Room 1 & 7 ,ROOM,2,2 Beds,0,1,,,Y,,Y,Y,
bj-2,bj,Room 2 3 4 5 6 ,ROOM,3,3 Beds,0,1,,,Y,,,,
bj-3,bj,Standard Room,ROOM,2,2 Beds,0,1,,,Y,,,,
bj-4,bj,Bunk Room,ROOM,2,2 Beds,0,0,,,N,,,,
dw-1,dw,Room,ROOM,2,1 Queen or 2 Twins,0,1,,,Y,,,,
kurt-1,kurt,Room 2 3 6 7,ROOM,2,1 Queen,0,1,,,,,,,
kurt-2,kurt,Room 1 4 5 8 9,ROOM,2,2 Beds (1 King and 1 Queen),0,1,,,Y,,,,
vwind-1,vwind,Cabana II,BUNGALOW,4,"1 Queen, 1 Double",0,1,,,Y,Y,Y,Y,
vwind-2,vwind,Beach House,BUNGALOW,6,"1 King, 2 Double",0,1,Y,,Y,Y,Y,Y,
vwind-3,vwind,Cabana Playa,BUNGALOW,2,"1 Queen, 1 Double",0,1,,,Y,Y,Y,Y,
vwind-4,vwind,Windscape,BUNGALOW,2,1 King,0,1,,,Y,Y,Y,Y,
